underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,gross_pnl_contract,txn_cost_contract,buying_power,outcome,entry_delta,entry_iv,size_mult,variant,timing,v3_first_fire
NIFTY,2024,3,2024-02-22,2024-03-28,2024-02-29,35,28,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,0.0,11.349999999999998,637.7229632599999,737.7499999999999,100.02703674,8643.375,profit_take,-0.2968697147116397,14.483957,1.0,pt50,first_fire,2024-02-22
NIFTY,2024,3,2024-02-23,2024-03-28,2024-02-29,34,28,22193.65,22326.9,21850.0,21750.0,100.0,11.149999999999999,0.0,11.149999999999999,625.8184584399999,724.7499999999999,98.93154156,8662.875,profit_take,-0.2970631656708036,13.869176,1.0,pt50,plus_one_day,2024-02-22
NIFTY,2024,3,2024-02-23,2024-03-28,2024-02-29,34,28,22193.65,22326.9,21850.0,21750.0,100.0,11.149999999999999,0.0,11.149999999999999,625.8184584399999,724.7499999999999,98.93154156,8662.875,profit_take,-0.2970631656708036,13.869176,1.0,pt50,worst_of_two,2024-02-22
NIFTY,2024,5,2024-05-03,2024-05-30,2024-05-21,27,9,22456.7,22488.65,22100.0,22000.0,100.0,24.0,11.799999999999997,12.200000000000003,671.8367957400003,793.0000000000002,121.16320425999999,3705.0,profit_take,-0.29536723537548604,14.787354,0.5,pt50,first_fire,2024-05-03
NIFTY,2024,5,2024-05-06,2024-05-30,2024-05-30,24,0,22458.0,22488.65,22100.0,22000.0,100.0,21.150000000000006,0.0,21.150000000000006,1259.2735534400003,1374.7500000000005,115.47644656,3843.9375,profit_take,-0.2949712613124822,15.276194,0.5,pt50,plus_one_day,2024-05-03
NIFTY,2024,5,2024-05-03,2024-05-30,2024-05-21,27,9,22456.7,22488.65,22100.0,22000.0,100.0,24.0,11.799999999999997,12.200000000000003,671.8367957400003,793.0000000000002,121.16320425999999,3705.0,profit_take,-0.29536723537548604,14.787354,0.5,pt50,worst_of_two,2024-05-03
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-07,35,20,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.25,12.25,671.4317438200001,796.25,124.81825617999999,4265.625,profit_take,-0.30678153301772404,14.484429,0.5,pt50,first_fire,2024-05-23
NIFTY,2024,6,2024-05-24,2024-06-27,2024-06-07,34,20,22952.0,24044.5,22600.0,22500.0,100.0,11.050000000000004,0.25,10.800000000000004,579.0704225600002,702.0000000000002,122.92957744,4336.312499999999,profit_take,-0.2969359602294084,13.758636,0.5,pt50,plus_one_day,2024-05-23
NIFTY,2024,6,2024-05-24,2024-06-27,2024-06-07,34,20,22952.0,24044.5,22600.0,22500.0,100.0,11.050000000000004,0.25,10.800000000000004,579.0704225600002,702.0000000000002,122.92957744,4336.312499999999,profit_take,-0.2969359602294084,13.758636,0.5,pt50,worst_of_two,2024-05-23
NIFTY,2024,9,2024-09-06,2024-09-26,2024-09-06,20,20,24868.5,26216.05,24450.0,24350.0,100.0,24.0,24.0,0.0,-140.75189468,0.0,140.75189468,7410.0,managed,-0.2948679898975566,16.886682,1.0,pt50,first_fire,2024-09-06
NIFTY,2024,9,2024-09-09,2024-09-26,2024-09-10,17,16,24942.25,26216.05,24600.0,24500.0,100.0,23.30000000000001,3.799999999999997,19.500000000000014,1138.035114820001,1267.500000000001,129.46488518,7478.249999999998,profit_take,-0.30288485693562284,15.633284,1.0,pt50,plus_one_day,2024-09-06
NIFTY,2024,9,2024-09-06,2024-09-26,2024-09-06,20,20,24868.5,26216.05,24450.0,24350.0,100.0,24.0,24.0,0.0,-140.75189468,0.0,140.75189468,7410.0,managed,-0.2948679898975566,16.886682,1.0,pt50,worst_of_two,2024-09-06
NIFTY,2024,12,2024-11-22,2024-12-26,2024-12-23,34,3,23873.5,23750.2,23450.0,23350.0,100.0,14.450000000000003,5.699999999999999,8.750000000000004,463.8061945200002,568.7500000000002,104.94380548000001,8341.125,profit_take,-0.3233053849876759,18.223543,1.0,pt50,first_fire,2024-11-22
NIFTY,2024,12,2024-11-25,2024-12-26,2024-11-27,31,29,24250.8,23750.2,23850.0,23750.0,100.0,6.800000000000001,0.5499999999999998,6.250000000000001,307.2637487200001,406.25000000000006,98.98625128,9087.0,profit_take,-0.32998482140598384,18.428323,1.0,pt50,plus_one_day,2024-11-22
NIFTY,2024,12,2024-11-25,2024-12-26,2024-11-27,31,29,24250.8,23750.2,23850.0,23750.0,100.0,6.800000000000001,0.5499999999999998,6.250000000000001,307.2637487200001,406.25000000000006,98.98625128,9087.0,profit_take,-0.32998482140598384,18.428323,1.0,pt50,worst_of_two,2024-11-22
NIFTY,2025,1,2025-01-06,2025-01-30,2025-01-30,24,0,23629.6,23249.5,23250.0,23150.0,100.0,25.69999999999999,0.2,25.49999999999999,1536.1627613599994,1657.4999999999993,121.33723864000001,7244.250000000002,profit_take,-0.3112376585451684,16.96243,1.0,pt50,first_fire,2025-01-06
NIFTY,2025,1,2025-01-07,2025-01-30,2025-01-09,23,21,23694.6,23249.5,23300.0,23200.0,100.0,25.599999999999994,31.75,-6.150000000000006,-539.0781687400004,-399.75000000000034,139.32816874,7254.0,managed,-0.2933274335558844,15.888867,1.0,pt50,plus_one_day,2025-01-06
NIFTY,2025,1,2025-01-07,2025-01-30,2025-01-09,23,21,23694.6,23249.5,23300.0,23200.0,100.0,25.599999999999994,31.75,-6.150000000000006,-539.0781687400004,-399.75000000000034,139.32816874,7254.0,managed,-0.2933274335558844,15.888867,1.0,pt50,worst_of_two,2025-01-06
NIFTY,2025,5,2025-04-24,2025-05-27,2025-05-08,33,19,24245.05,24826.2,23850.0,23750.0,100.0,15.799999999999997,25.0,-9.200000000000003,-745.9491455200002,-598.0000000000002,147.94914552,8209.5,managed,-0.33433170172473314,18.540103,1.0,pt50,first_fire,2025-04-24
NIFTY,2025,5,2025-04-25,2025-05-27,2025-05-09,32,18,23991.65,24826.2,23600.0,23500.0,100.0,9.950000000000003,15.350000000000023,-5.40000000000002,-491.3291983800013,-351.0000000000013,140.32919837999998,8779.875,managed,-0.3331092874703627,18.527113,1.0,pt50,plus_one_day,2025-04-24
NIFTY,2025,5,2025-04-24,2025-05-27,2025-05-08,33,19,24245.05,24826.2,23850.0,23750.0,100.0,15.799999999999997,25.0,-9.200000000000003,-745.9491455200002,-598.0000000000002,147.94914552,8209.5,managed,-0.33433170172473314,18.540103,1.0,pt50,worst_of_two,2025-04-24
NIFTY,2025,11,2025-10-30,2025-11-25,2025-11-17,26,8,25891.2,25884.8,25600.0,25500.0,100.0,20.700000000000017,8.400000000000002,12.300000000000015,681.832035540001,799.500000000001,117.66796446,7731.749999999998,profit_take,-0.2982253474079818,11.62,1.0,pt50,first_fire,2025-10-30
NIFTY,2025,11,2025-10-31,2025-11-25,2025-11-12,25,13,25732.55,25884.8,25450.0,25350.0,100.0,22.89999999999999,10.850000000000001,12.04999999999999,665.1895852999993,783.2499999999993,118.0604147,7517.250000000002,profit_take,-0.29253809795944685,11.14,1.0,pt50,plus_one_day,2025-10-30
NIFTY,2025,11,2025-10-31,2025-11-25,2025-11-12,25,13,25732.55,25884.8,25450.0,25350.0,100.0,22.89999999999999,10.850000000000001,12.04999999999999,665.1895852999993,783.2499999999993,118.0604147,7517.250000000002,profit_take,-0.29253809795944685,11.14,1.0,pt50,worst_of_two,2025-10-30
NIFTY,2024,3,2024-02-22,2024-03-28,2024-03-28,35,0,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,0.0,11.349999999999998,684.9301764399999,737.7499999999999,52.81982356,8643.375,expired_worthless,-0.2968697147116397,14.483957,1.0,hte,first_fire,2024-02-22
NIFTY,2024,3,2024-02-23,2024-03-28,2024-03-28,34,0,22193.65,22326.9,21850.0,21750.0,100.0,11.149999999999999,0.0,11.149999999999999,673.0256716199999,724.7499999999999,51.72432838,8662.875,expired_worthless,-0.2970631656708036,13.869176,1.0,hte,plus_one_day,2024-02-22
NIFTY,2024,3,2024-02-23,2024-03-28,2024-03-28,34,0,22193.65,22326.9,21850.0,21750.0,100.0,11.149999999999999,0.0,11.149999999999999,673.0256716199999,724.7499999999999,51.72432838,8662.875,expired_worthless,-0.2970631656708036,13.869176,1.0,hte,worst_of_two,2024-02-22
NIFTY,2024,5,2024-05-03,2024-05-30,2024-05-30,27,0,22456.7,22488.65,22100.0,22000.0,100.0,24.0,0.0,24.0,1491.4137052,1560.0,68.58629479999999,3705.0,expired_worthless,-0.29536723537548604,14.787354,0.5,hte,first_fire,2024-05-03
NIFTY,2024,5,2024-05-06,2024-05-30,2024-05-30,24,0,22458.0,22488.65,22100.0,22000.0,100.0,21.150000000000006,0.0,21.150000000000006,1306.4807666200004,1374.7500000000005,68.26923338,3843.9375,expired_worthless,-0.2949712613124822,15.276194,0.5,hte,plus_one_day,2024-05-03
NIFTY,2024,5,2024-05-06,2024-05-30,2024-05-30,24,0,22458.0,22488.65,22100.0,22000.0,100.0,21.150000000000006,0.0,21.150000000000006,1306.4807666200004,1374.7500000000005,68.26923338,3843.9375,expired_worthless,-0.2949712613124822,15.276194,0.5,hte,worst_of_two,2024-05-03
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-27,35,0,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.0,12.5,758.74588178,812.5,53.754118219999995,4265.625,expired_worthless,-0.30678153301772404,14.484429,0.5,hte,first_fire,2024-05-23
NIFTY,2024,6,2024-05-24,2024-06-27,2024-06-27,34,0,22952.0,24044.5,22600.0,22500.0,100.0,11.050000000000004,0.0,11.050000000000004,666.3845605200003,718.2500000000002,51.865439480000006,4336.312499999999,expired_worthless,-0.2969359602294084,13.758636,0.5,hte,plus_one_day,2024-05-23
NIFTY,2024,6,2024-05-24,2024-06-27,2024-06-27,34,0,22952.0,24044.5,22600.0,22500.0,100.0,11.050000000000004,0.0,11.050000000000004,666.3845605200003,718.2500000000002,51.865439480000006,4336.312499999999,expired_worthless,-0.2969359602294084,13.758636,0.5,hte,worst_of_two,2024-05-23
NIFTY,2024,9,2024-09-06,2024-09-26,2024-09-26,20,0,24868.5,26216.05,24450.0,24350.0,100.0,24.0,0.0,24.0,1488.86745266,1560.0,71.13254734,7410.0,expired_worthless,-0.2948679898975566,16.886682,1.0,hte,first_fire,2024-09-06
NIFTY,2024,9,2024-09-09,2024-09-26,2024-09-26,17,0,24942.25,26216.05,24600.0,24500.0,100.0,23.30000000000001,0.0,23.30000000000001,1446.1738076400006,1514.5000000000007,68.32619236,7478.249999999998,expired_worthless,-0.30288485693562284,15.633284,1.0,hte,plus_one_day,2024-09-06
NIFTY,2024,9,2024-09-09,2024-09-26,2024-09-26,17,0,24942.25,26216.05,24600.0,24500.0,100.0,23.30000000000001,0.0,23.30000000000001,1446.1738076400006,1514.5000000000007,68.32619236,7478.249999999998,expired_worthless,-0.30288485693562284,15.633284,1.0,hte,worst_of_two,2024-09-06
NIFTY,2024,12,2024-11-22,2024-12-26,2024-12-26,34,0,23873.5,23750.2,23450.0,23350.0,100.0,14.450000000000003,0.0,14.450000000000003,883.6563591600002,939.2500000000002,55.59364084,8341.125,expired_worthless,-0.3233053849876759,18.223543,1.0,hte,first_fire,2024-11-22
NIFTY,2024,12,2024-11-25,2024-12-26,2024-12-26,31,0,24250.8,23750.2,23850.0,23750.0,100.0,6.800000000000001,99.79999999999927,-92.99999999999928,-6096.338339919953,-6044.999999999953,51.338339919999996,9087.0,partial_loss,-0.32998482140598384,18.428323,1.0,hte,plus_one_day,2024-11-22
NIFTY,2024,12,2024-11-25,2024-12-26,2024-12-26,31,0,24250.8,23750.2,23850.0,23750.0,100.0,6.800000000000001,99.79999999999927,-92.99999999999928,-6096.338339919953,-6044.999999999953,51.338339919999996,9087.0,partial_loss,-0.32998482140598384,18.428323,1.0,hte,worst_of_two,2024-11-22
NIFTY,2025,1,2025-01-06,2025-01-30,2025-01-30,24,0,23629.6,23249.5,23250.0,23150.0,100.0,25.69999999999999,0.5,25.19999999999999,1563.8997354399994,1637.9999999999993,74.10026456,7244.250000000002,partial_loss,-0.3112376585451684,16.96243,1.0,hte,first_fire,2025-01-06
NIFTY,2025,1,2025-01-07,2025-01-30,2025-01-30,23,0,23694.6,23249.5,23300.0,23200.0,100.0,25.599999999999994,50.5,-24.900000000000006,-1688.1754327200006,-1618.5000000000005,69.67543272,7254.0,partial_loss,-0.2933274335558844,15.888867,1.0,hte,plus_one_day,2025-01-06
NIFTY,2025,1,2025-01-07,2025-01-30,2025-01-30,23,0,23694.6,23249.5,23300.0,23200.0,100.0,25.599999999999994,50.5,-24.900000000000006,-1688.1754327200006,-1618.5000000000005,69.67543272,7254.0,partial_loss,-0.2933274335558844,15.888867,1.0,hte,worst_of_two,2025-01-06
NIFTY,2025,5,2025-04-24,2025-05-27,2025-05-27,33,0,24245.05,24826.2,23850.0,23750.0,100.0,15.799999999999997,0.0,15.799999999999997,969.8237864799997,1026.9999999999998,57.17621352,8209.5,expired_worthless,-0.33433170172473314,18.540103,1.0,hte,first_fire,2025-04-24
NIFTY,2025,5,2025-04-25,2025-05-27,2025-05-27,32,0,23991.65,24826.2,23600.0,23500.0,100.0,9.950000000000003,0.0,9.950000000000003,591.3559271000003,646.7500000000002,55.3940729,8779.875,expired_worthless,-0.3331092874703627,18.527113,1.0,hte,plus_one_day,2025-04-24
NIFTY,2025,5,2025-04-25,2025-05-27,2025-05-27,32,0,23991.65,24826.2,23600.0,23500.0,100.0,9.950000000000003,0.0,9.950000000000003,591.3559271000003,646.7500000000002,55.3940729,8779.875,expired_worthless,-0.3331092874703627,18.527113,1.0,hte,worst_of_two,2025-04-24
NIFTY,2025,11,2025-10-30,2025-11-25,2025-11-25,26,0,25891.2,25884.8,25600.0,25500.0,100.0,20.700000000000017,0.0,20.700000000000017,1279.441366180001,1345.5000000000011,66.05863382,7731.749999999998,expired_worthless,-0.2982253474079818,11.62,1.0,hte,first_fire,2025-10-30
NIFTY,2025,11,2025-10-31,2025-11-25,2025-11-25,25,0,25732.55,25884.8,25450.0,25350.0,100.0,22.89999999999999,0.0,22.89999999999999,1424.3628488599995,1488.4999999999995,64.13715114,7517.250000000002,expired_worthless,-0.29253809795944685,11.14,1.0,hte,plus_one_day,2025-10-30
NIFTY,2025,11,2025-10-30,2025-11-25,2025-11-25,26,0,25891.2,25884.8,25600.0,25500.0,100.0,20.700000000000017,0.0,20.700000000000017,1279.441366180001,1345.5000000000011,66.05863382,7731.749999999998,expired_worthless,-0.2982253474079818,11.62,1.0,hte,worst_of_two,2025-10-30
