underlying,cycle_year,cycle_month,entry_date,expiry_date,exit_date,dte_entry,dte_exit,spot_entry,spot_exit,short_strike,long_strike,width,net_credit,net_close_at_exit,pnl_per_share,pnl_contract,buying_power,outcome,entry_delta,entry_iv,param_delta,param_width,param_pt,param_manage
NIFTY,2024,3,2024-02-22,2024-03-28,2024-03-28,35,0,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,0.0,11.349999999999998,737.7499999999999,8643.375,expired_worthless,-0.2968697147116397,14.483957,0.3,100.0,1.0,
NIFTY,2024,4,2024-03-21,2024-04-25,2024-04-25,35,0,22014.8,22570.35,21800.0,21700.0,100.0,12.799999999999997,0.0,12.799999999999997,831.9999999999998,8502.0,expired_worthless,-0.30466893842334786,10.466896,0.3,100.0,1.0,
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-27,35,0,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.0,12.5,812.5,8531.25,expired_worthless,-0.30678153301772404,14.484429,0.3,100.0,1.0,
NIFTY,2024,7,2024-06-20,2024-07-25,2024-07-25,35,0,23579.15,24406.1,23250.0,23150.0,100.0,12.25,0.0,12.25,796.25,8555.625,expired_worthless,-0.2927230709430595,12.453311,0.3,100.0,1.0,
NIFTY,2024,9,2024-08-22,2024-09-26,2024-09-26,35,0,24810.9,26216.05,24500.0,24400.0,100.0,13.0,0.0,13.0,845.0,8482.5,expired_worthless,-0.29302183685673056,11.553228,0.3,100.0,1.0,
NIFTY,2024,11,2024-10-24,2024-11-28,2024-11-28,35,0,24414.6,23914.15,24050.0,23950.0,100.0,12.049999999999997,100.0,-87.95,-5716.75,8575.125,max_loss,-0.2974504788923489,13.449682,0.3,100.0,1.0,
NIFTY,2024,12,2024-11-21,2024-12-26,2024-12-26,35,0,23346.75,23750.2,22950.0,22850.0,100.0,16.200000000000003,0.0,16.200000000000003,1053.0000000000002,8170.5,expired_worthless,-0.3259205417150256,17.817483,0.3,100.0,1.0,
NIFTY,2025,2,2025-01-23,2025-02-27,2025-02-27,35,0,23216.3,22545.05,22800.0,22700.0,100.0,12.449999999999996,100.0,-87.55000000000001,-5690.750000000001,8536.125000000002,max_loss,-0.3032385984527599,16.022788,0.3,100.0,1.0,
NIFTY,2025,3,2025-02-20,2025-03-27,2025-03-27,35,0,22906.25,23591.95,22550.0,22450.0,100.0,14.25,0.0,14.25,926.25,8360.625,expired_worthless,-0.29979084864981786,14.058411,0.3,100.0,1.0,
NIFTY,2025,4,2025-03-25,2025-04-29,2025-04-29,35,0,23605.95,24335.95,23200.0,23100.0,100.0,3.8000000000000007,0.0,3.8000000000000007,247.00000000000006,9379.5,expired_worthless,-0.3276823741432632,18.211203,0.3,100.0,1.0,
NIFTY,2025,5,2025-04-22,2025-05-27,2025-05-27,35,0,24134.05,24826.2,23750.0,23650.0,100.0,15.200000000000003,0.0,15.200000000000003,988.0000000000002,8268.0,expired_worthless,-0.31662328368849724,15.894331,0.3,100.0,1.0,
NIFTY,2025,6,2025-05-20,2025-06-24,2025-06-24,35,0,24713.85,25044.35,24300.0,24200.0,100.0,17.700000000000003,0.0,17.700000000000003,1150.5000000000002,8024.25,expired_worthless,-0.3163693582368333,16.506795,0.3,100.0,1.0,
NIFTY,2025,7,2025-06-24,2025-07-29,2025-07-29,35,0,25071.55,24821.1,24650.0,24550.0,100.0,3.8000000000000007,0.0,3.8000000000000007,247.00000000000006,9379.5,expired_worthless,-0.32271854985593706,17.280839,0.3,100.0,1.0,
NIFTY,2025,8,2025-07-22,2025-08-26,2025-08-26,35,0,25064.9,24712.05,24800.0,24700.0,100.0,15.649999999999999,87.95000000000073,-72.30000000000072,-4699.500000000047,8224.125,partial_loss,-0.29809426053348076,10.602095,0.3,100.0,1.0,
NIFTY,2025,9,2025-08-26,2025-09-30,2025-09-30,35,0,24710.7,24611.1,24450.0,24350.0,100.0,3.9000000000000004,0.0,3.9000000000000004,253.50000000000003,9369.75,expired_worthless,-0.3011375712905672,10.78,0.3,100.0,1.0,
NIFTY,2025,10,2025-09-23,2025-10-28,2025-10-28,35,0,25184.9,25936.2,25000.0,24900.0,100.0,14.400000000000002,0.0,14.400000000000002,936.0000000000001,8346.0,expired_worthless,-0.30558943491996093,8.88,0.3,100.0,1.0,
NIFTY,2025,11,2025-10-21,2025-11-25,2025-11-25,35,0,25833.3,25884.8,25600.0,25500.0,100.0,14.75,0.0,14.75,958.75,8311.875,expired_worthless,-0.2990577973720785,9.65,0.3,100.0,1.0,
NIFTY,2024,3,2024-02-22,2024-03-28,2024-03-28,35,0,22217.65,22326.9,21850.0,21700.0,150.0,16.099999999999998,0.0,16.099999999999998,1046.4999999999998,13055.25,expired_worthless,-0.2968697147116397,14.483957,0.3,150.0,1.0,
NIFTY,2024,4,2024-03-21,2024-04-25,2024-04-25,35,0,22014.8,22570.35,21800.0,21650.0,150.0,17.599999999999998,0.0,17.599999999999998,1143.9999999999998,12909.0,expired_worthless,-0.30466893842334786,10.466896,0.3,150.0,1.0,
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-27,35,0,22951.0,24044.5,22600.0,22450.0,150.0,17.200000000000003,0.0,17.200000000000003,1118.0000000000002,12948.0,expired_worthless,-0.30678153301772404,14.484429,0.3,150.0,1.0,
NIFTY,2024,7,2024-06-20,2024-07-25,2024-07-25,35,0,23579.15,24406.1,23250.0,23100.0,150.0,17.5,0.0,17.5,1137.5,12918.75,expired_worthless,-0.2927230709430595,12.453311,0.3,150.0,1.0,
NIFTY,2024,9,2024-08-22,2024-09-26,2024-09-26,35,0,24810.9,26216.05,24500.0,24350.0,150.0,17.1,0.0,17.1,1111.5,12957.75,expired_worthless,-0.29302183685673056,11.553228,0.3,150.0,1.0,
NIFTY,2024,11,2024-10-24,2024-11-28,2024-11-28,35,0,24414.6,23914.15,24050.0,23900.0,150.0,16.65,135.84999999999854,-119.19999999999854,-7747.999999999905,13001.625,partial_loss,-0.2974504788923489,13.449682,0.3,150.0,1.0,
NIFTY,2025,3,2025-02-20,2025-03-27,2025-03-27,35,0,22906.25,23591.95,22550.0,22400.0,150.0,19.1,0.0,19.1,1241.5,12762.75,expired_worthless,-0.29979084864981786,14.058411,0.3,150.0,1.0,
NIFTY,2025,8,2025-07-22,2025-08-26,2025-08-26,35,0,25064.9,24712.05,24800.0,24650.0,150.0,21.299999999999997,87.95000000000073,-66.65000000000073,-4332.250000000047,12548.25,partial_loss,-0.29809426053348076,10.602095,0.3,150.0,1.0,
NIFTY,2025,9,2025-08-26,2025-09-30,2025-09-30,35,0,24710.7,24611.1,24450.0,24300.0,150.0,5.05,0.0,5.05,328.25,14132.625,expired_worthless,-0.3011375712905672,10.78,0.3,150.0,1.0,
NIFTY,2025,10,2025-09-23,2025-10-28,2025-10-28,35,0,25184.9,25936.2,25000.0,24850.0,150.0,19.800000000000004,0.0,19.800000000000004,1287.0000000000002,12694.5,expired_worthless,-0.30558943491996093,8.88,0.3,150.0,1.0,
NIFTY,2025,11,2025-10-21,2025-11-25,2025-11-25,35,0,25833.3,25884.8,25600.0,25450.0,150.0,19.8,0.0,19.8,1287.0,12694.5,expired_worthless,-0.2990577973720785,9.65,0.3,150.0,1.0,
NIFTY,2024,3,2024-02-22,2024-03-28,2024-02-29,35,28,22217.65,22326.9,21850.0,21750.0,100.0,11.349999999999998,0.0,11.349999999999998,737.7499999999999,8643.375,profit_take,-0.2968697147116397,14.483957,0.3,100.0,0.5,21
NIFTY,2024,4,2024-03-21,2024-04-25,2024-03-27,35,29,22014.8,22570.35,21800.0,21700.0,100.0,12.799999999999997,0.8,11.999999999999996,779.9999999999998,8502.0,profit_take,-0.30466893842334786,10.466896,0.3,100.0,0.5,21
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-07,35,20,22951.0,24044.5,22600.0,22500.0,100.0,12.5,0.25,12.25,796.25,8531.25,profit_take,-0.30678153301772404,14.484429,0.3,100.0,0.5,21
NIFTY,2024,7,2024-06-20,2024-07-25,2024-06-25,35,30,23579.15,24406.1,23250.0,23150.0,100.0,12.25,2.8499999999999996,9.4,611.0,8555.625,profit_take,-0.2927230709430595,12.453311,0.3,100.0,0.5,21
NIFTY,2024,9,2024-08-22,2024-09-26,2024-09-10,35,16,24810.9,26216.05,24500.0,24400.0,100.0,13.0,-13.650000000000006,26.650000000000006,1732.2500000000005,8482.5,profit_take,-0.29302183685673056,11.553228,0.3,100.0,0.5,21
NIFTY,2024,11,2024-10-24,2024-11-28,2024-10-29,35,30,24414.6,23914.15,24050.0,23950.0,100.0,12.049999999999997,2.25,9.799999999999997,636.9999999999998,8575.125,profit_take,-0.2974504788923489,13.449682,0.3,100.0,0.5,21
NIFTY,2024,12,2024-11-21,2024-12-26,2024-12-26,35,0,23346.75,23750.2,22950.0,22850.0,100.0,16.200000000000003,0.0,16.200000000000003,1053.0000000000002,8170.5,expired_worthless,-0.3259205417150256,17.817483,0.3,100.0,0.5,21
NIFTY,2025,2,2025-01-23,2025-02-27,2025-01-30,35,28,23216.3,22545.05,22800.0,22700.0,100.0,12.449999999999996,-1.2,13.649999999999995,887.2499999999997,8536.125000000002,profit_take,-0.3032385984527599,16.022788,0.3,100.0,0.5,21
NIFTY,2025,3,2025-02-20,2025-03-27,2025-02-27,35,28,22906.25,23591.95,22550.0,22450.0,100.0,14.25,4.95,9.3,604.5,8360.625,profit_take,-0.29979084864981786,14.058411,0.3,100.0,0.5,21
NIFTY,2025,4,2025-03-25,2025-04-29,2025-03-27,35,33,23605.95,24335.95,23200.0,23100.0,100.0,3.8000000000000007,0.05,3.750000000000001,243.75000000000006,9379.5,profit_take,-0.3276823741432632,18.211203,0.3,100.0,0.5,21
NIFTY,2025,5,2025-04-22,2025-05-27,2025-05-08,35,19,24134.05,24826.2,23750.0,23650.0,100.0,15.200000000000003,25.69999999999999,-10.499999999999986,-682.4999999999991,8268.0,managed,-0.31662328368849724,15.894331,0.3,100.0,0.5,21
NIFTY,2025,6,2025-05-20,2025-06-24,2025-05-29,35,26,24713.85,25044.35,24300.0,24200.0,100.0,17.700000000000003,-0.5000000000000001,18.200000000000003,1183.0000000000002,8024.25,profit_take,-0.3163693582368333,16.506795,0.3,100.0,0.5,21
NIFTY,2025,7,2025-06-24,2025-07-29,2025-07-21,35,8,25071.55,24821.1,24650.0,24550.0,100.0,3.8000000000000007,1.8999999999999986,1.9000000000000021,123.50000000000014,9379.5,profit_take,-0.32271854985593706,17.280839,0.3,100.0,0.5,21
NIFTY,2025,8,2025-07-22,2025-08-26,2025-07-23,35,34,25064.9,24712.05,24800.0,24700.0,100.0,15.649999999999999,5.5,10.149999999999999,659.7499999999999,8224.125,profit_take,-0.29809426053348076,10.602095,0.3,100.0,0.5,21
NIFTY,2025,9,2025-08-26,2025-09-30,2025-08-28,35,33,24710.7,24611.1,24450.0,24350.0,100.0,3.9000000000000004,0.0,3.9000000000000004,253.50000000000003,9369.75,profit_take,-0.3011375712905672,10.78,0.3,100.0,0.5,21
NIFTY,2025,10,2025-09-23,2025-10-28,2025-10-16,35,12,25184.9,25936.2,25000.0,24900.0,100.0,14.400000000000002,2.049999999999997,12.350000000000005,802.7500000000003,8346.0,profit_take,-0.30558943491996093,8.88,0.3,100.0,0.5,21
NIFTY,2025,11,2025-10-21,2025-11-25,2025-10-27,35,29,25833.3,25884.8,25600.0,25500.0,100.0,14.75,0.75,14.0,910.0,8311.875,profit_take,-0.2990577973720785,9.65,0.3,100.0,0.5,21
NIFTY,2024,3,2024-02-22,2024-03-28,2024-02-29,35,28,22217.65,22326.9,21850.0,21700.0,150.0,16.099999999999998,0.0,16.099999999999998,1046.4999999999998,13055.25,profit_take,-0.2968697147116397,14.483957,0.3,150.0,0.5,21
NIFTY,2024,4,2024-03-21,2024-04-25,2024-03-27,35,29,22014.8,22570.35,21800.0,21650.0,150.0,17.599999999999998,0.95,16.65,1082.25,12909.0,profit_take,-0.30466893842334786,10.466896,0.3,150.0,0.5,21
NIFTY,2024,6,2024-05-23,2024-06-27,2024-06-06,35,21,22951.0,24044.5,22600.0,22450.0,150.0,17.200000000000003,45.349999999999994,-28.14999999999999,-1829.7499999999995,12948.0,managed,-0.30678153301772404,14.484429,0.3,150.0,0.5,21
NIFTY,2024,7,2024-06-20,2024-07-25,2024-06-25,35,30,23579.15,24406.1,23250.0,23100.0,150.0,17.5,5.25,12.25,796.25,12918.75,profit_take,-0.2927230709430595,12.453311,0.3,150.0,0.5,21
NIFTY,2024,9,2024-08-22,2024-09-26,2024-09-09,35,17,24810.9,26216.05,24500.0,24350.0,150.0,17.1,7.049999999999983,10.050000000000018,653.2500000000013,12957.75,profit_take,-0.29302183685673056,11.553228,0.3,150.0,0.5,21
NIFTY,2024,11,2024-10-24,2024-11-28,2024-10-29,35,30,24414.6,23914.15,24050.0,23900.0,150.0,16.65,2.4499999999999993,14.2,923.0,13001.625,profit_take,-0.2974504788923489,13.449682,0.3,150.0,0.5,21
NIFTY,2025,3,2025-02-20,2025-03-27,2025-02-27,35,28,22906.25,23591.95,22550.0,22400.0,150.0,19.1,4.95,14.150000000000002,919.7500000000001,12762.75,profit_take,-0.29979084864981786,14.058411,0.3,150.0,0.5,21
NIFTY,2025,8,2025-07-22,2025-08-26,2025-07-23,35,34,25064.9,24712.05,24800.0,24650.0,150.0,21.299999999999997,5.25,16.049999999999997,1043.2499999999998,12548.25,profit_take,-0.29809426053348076,10.602095,0.3,150.0,0.5,21
NIFTY,2025,9,2025-08-26,2025-09-30,2025-08-28,35,33,24710.7,24611.1,24450.0,24300.0,150.0,5.05,0.0,5.05,328.25,14132.625,profit_take,-0.3011375712905672,10.78,0.3,150.0,0.5,21
NIFTY,2025,10,2025-09-23,2025-10-28,2025-10-07,35,21,25184.9,25936.2,25000.0,24850.0,150.0,19.800000000000004,35.7,-15.899999999999999,-1033.5,12694.5,managed,-0.30558943491996093,8.88,0.3,150.0,0.5,21
NIFTY,2025,11,2025-10-21,2025-11-25,2025-10-27,35,29,25833.3,25884.8,25600.0,25450.0,150.0,19.8,1.1499999999999995,18.650000000000002,1212.2500000000002,12694.5,profit_take,-0.2990577973720785,9.65,0.3,150.0,0.5,21
BANKNIFTY,2025,5,2025-04-24,2025-05-29,2025-05-29,35,0,55130.9,55546.05,54900.0,54600.0,300.0,0.3,0.0,0.3,10.5,15734.25,expired_worthless,-0.24781794924380696,0.0,0.3,300.0,1.0,
BANKNIFTY,2025,8,2025-07-24,2025-08-28,2025-08-28,35,0,57033.7,53820.35,56400.0,56100.0,300.0,35.849999999999994,300.0,-264.15,-9245.25,13867.875,max_loss,-0.30340323549490533,11.306851,0.3,300.0,1.0,
BANKNIFTY,2025,9,2025-08-21,2025-09-25,2025-09-25,35,0,55733.9,54976.2,55200.0,54900.0,300.0,33.0,223.8000000000029,-190.8000000000029,-6678.000000000102,14017.5,partial_loss,-0.29608781210272306,9.84,0.3,300.0,1.0,
BANKNIFTY,2025,10,2025-09-25,2025-10-30,2025-10-30,35,0,54950.95,58031.1,54500.0,54200.0,300.0,33.45,0.0,33.45,1170.75,13993.875,expired_worthless,-0.306712188496001,9.53,0.3,300.0,1.0,
BANKNIFTY,2025,11,2025-10-23,2025-11-27,2025-11-27,35,0,57981.1,59737.3,57300.0,57000.0,300.0,29.10000000000001,0.0,29.10000000000001,1018.5000000000003,14222.25,expired_worthless,-0.30195976350212084,11.64,0.3,300.0,1.0,
BANKNIFTY,2025,9,2025-08-21,2025-09-25,2025-09-25,35,0,55733.9,54976.2,55200.0,54700.0,500.0,49.9,223.8000000000029,-173.9000000000029,-6086.500000000102,23630.25,partial_loss,-0.29608781210272306,9.84,0.3,500.0,1.0,
BANKNIFTY,2025,10,2025-09-25,2025-10-30,2025-10-30,35,0,54950.95,58031.1,54500.0,54000.0,500.0,44.2,0.0,44.2,1547.0,23929.5,expired_worthless,-0.306712188496001,9.53,0.3,500.0,1.0,
BANKNIFTY,2025,5,2025-04-24,2025-05-29,2025-05-29,35,0,55130.9,55546.05,54900.0,54600.0,300.0,0.3,-0.24999999999999997,0.5499999999999999,19.249999999999996,15734.25,profit_take,-0.24781794924380696,0.0,0.3,300.0,0.5,21
BANKNIFTY,2025,8,2025-07-24,2025-08-28,2025-08-07,35,21,57033.7,53820.35,56400.0,56100.0,300.0,35.849999999999994,189.39999999999998,-153.54999999999998,-5374.249999999999,13867.875,managed,-0.30340323549490533,11.306851,0.3,300.0,0.5,21
BANKNIFTY,2025,9,2025-08-21,2025-09-25,2025-09-04,35,21,55733.9,54976.2,55200.0,54900.0,300.0,33.0,120.59999999999991,-87.59999999999991,-3065.999999999997,14017.5,managed,-0.29608781210272306,9.84,0.3,300.0,0.5,21
BANKNIFTY,2025,10,2025-09-25,2025-10-30,2025-09-30,35,30,54950.95,58031.1,54500.0,54200.0,300.0,33.45,0.0,33.45,1170.75,13993.875,profit_take,-0.306712188496001,9.53,0.3,300.0,0.5,21
BANKNIFTY,2025,11,2025-10-23,2025-11-27,2025-10-27,35,31,57981.1,59737.3,57300.0,57000.0,300.0,29.10000000000001,1.9999999999999982,27.10000000000001,948.5000000000003,14222.25,profit_take,-0.30195976350212084,11.64,0.3,300.0,0.5,21
BANKNIFTY,2025,9,2025-08-21,2025-09-25,2025-09-04,35,21,55733.9,54976.2,55200.0,54700.0,500.0,49.9,238.94999999999993,-189.04999999999993,-6616.749999999997,23630.25,managed,-0.29608781210272306,9.84,0.3,500.0,0.5,21
BANKNIFTY,2025,10,2025-09-25,2025-10-30,2025-09-30,35,30,54950.95,58031.1,54500.0,54000.0,500.0,44.2,0.0,44.2,1547.0,23929.5,profit_take,-0.306712188496001,9.53,0.3,500.0,0.5,21
