cycle,underlying,entry_date,expiry,exit_date,short_strike,long_strike,width,dte_entry,spot_entry,spot_exit,short_entry_premium,long_entry_premium,net_credit_entry,net_credit_exit,short_entry_iv,short_entry_delta,pnl_per_share,pnl_dollars,max_loss,buying_power,return_on_bp,outcome,param_delta,param_dte,param_width,param_pt,param_manage
1,IWM,2024-05-17,2024-06-21,2024-06-21,203.0,193.0,10.0,35,208.08,200.35,2.2,0.63,1.5386000000000002,2.6500000000000057,0.17710794963836668,-0.2962849105174287,-1.1114000000000055,-111.14000000000055,8.43,843.0,-0.1318386714116258,partial_loss,0.3,35,10.0,1.0,
2,IWM,2024-06-14,2024-07-19,2024-07-15,194.0,184.0,10.0,35,198.73,217.19,2.43,0.75,1.6464,-0.0102,0.1905640251159668,-0.3117771445180263,1.6566,165.66,8.32,832.0,0.19911057692307693,profit_take,0.3,35,10.0,1.0,
3,IWM,2024-07-12,2024-08-16,2024-08-16,208.0,198.0,10.0,35,213.14,212.6,2.52,0.76,1.7247999999999999,0.0,0.1878079614639282,-0.3075954281263013,1.7247999999999999,172.48,8.24,824.0,0.20932038834951455,profit_take,0.3,35,10.0,1.0,
4,IWM,2024-08-16,2024-09-20,2024-09-20,206.0,196.0,10.0,35,212.6,221.57,2.57,0.86,1.6758,0.0,0.21082919902801517,-0.28646426802185004,1.6758,167.57999999999998,8.29,828.9999999999999,0.20214716525934862,profit_take,0.3,35,10.0,1.0,
5,IWM,2024-09-13,2024-10-18,2024-10-18,209.0,199.0,10.0,35,216.83,225.65,3.13,1.2,1.8914,0.0,0.2480217535018921,-0.2883238959820255,1.8914,189.14,8.07,807.0,0.23437422552664186,expired_worthless,0.3,35,10.0,1.0,
6,IWM,2024-10-11,2024-11-15,2024-11-11,215.0,205.0,10.0,35,221.26,241.7,3.86,1.73,2.0873999999999997,0.0,0.25166471652984623,-0.3271664283975103,2.0873999999999997,208.73999999999998,7.87,787.0,0.26523506988564166,profit_take,0.3,35,10.0,1.0,
7,IWM,2024-11-15,2024-12-20,2024-12-20,221.0,211.0,10.0,35,228.48,221.92,2.91,1.26,1.617,0.0,0.22194881916046144,-0.2862521535608783,1.617,161.7,8.35,835.0,0.19365269461077844,profit_take,0.3,35,10.0,1.0,
8,IWM,2024-12-13,2025-01-17,2025-01-17,225.0,215.0,10.0,35,233.07,225.46,2.74,1.1,1.6072000000000002,-0.020399999999999998,0.2180102230072022,-0.27351705297622436,1.6276000000000002,162.76000000000002,8.36,836.0,0.19468899521531102,profit_take,0.3,35,10.0,1.0,
9,IWM,2025-01-17,2025-02-21,2025-02-21,219.0,209.0,10.0,35,225.46,217.8,2.64,0.94,1.6660000000000001,1.1999999999999886,0.2002340892791748,-0.2910226029245267,0.4660000000000115,46.60000000000115,8.3,830.0000000000001,0.056144578313254395,partial_loss,0.3,35,10.0,1.0,
10,IWM,2025-02-14,2025-03-21,2025-03-21,221.0,211.0,10.0,35,225.97,203.79,3.03,1.07,1.9207999999999996,10.0,0.19569469032287598,-0.3266944469589166,-8.0792,-807.9200000000001,8.040000000000001,804.0000000000001,-1.0048756218905472,max_loss,0.3,35,10.0,1.0,
12,IWM,2025-04-11,2025-05-16,2025-05-16,174.0,164.0,10.0,35,184.36,209.85,4.82,2.72,2.058,0.0,0.41994672069549566,-0.2965222112236138,2.0580000000000003,205.80000000000004,7.9,790.0,0.2605063291139241,expired_worthless,0.3,35,10.0,1.0,
13,IWM,2025-05-16,2025-06-20,2025-06-20,202.0,192.0,10.0,35,209.85,209.21,2.27,0.91,1.3327999999999998,0.0,0.21664649600982666,-0.2583068934971976,1.3327999999999998,133.27999999999997,8.64,864.0,0.15425925925925923,profit_take,0.3,35,10.0,1.0,
14,IWM,2025-06-13,2025-07-18,2025-07-17,203.0,193.0,10.0,35,208.89,223.92,3.72,1.87,1.813,0.0,0.2546019746780396,-0.32915201926623733,1.813,181.29999999999998,8.15,815.0,0.22245398773006134,profit_take,0.3,35,10.0,1.0,
15,IWM,2025-07-11,2025-08-15,2025-08-15,217.0,207.0,10.0,35,221.7,227.13,3.8,1.6,2.1559999999999997,0.0,0.22611629257202148,-0.349734888067323,2.1559999999999997,215.59999999999997,7.800000000000001,780.0000000000001,0.27641025641025635,profit_take,0.3,35,10.0,1.0,
16,IWM,2025-08-15,2025-09-19,2025-09-19,221.0,211.0,10.0,35,227.13,242.98,3.49,1.48,1.9698000000000002,0.0,0.22886281967163086,-0.32064138751927634,1.9698000000000002,196.98000000000002,7.99,799.0,0.2465331664580726,profit_take,0.3,35,10.0,1.0,
17,IWM,2025-09-12,2025-10-17,2025-10-17,231.0,221.0,10.0,35,238.34,243.41,3.09,1.26,1.7933999999999999,0.0,0.21836784372329715,-0.29361881463558337,1.7933999999999999,179.33999999999997,8.17,817.0,0.21951040391676863,profit_take,0.3,35,10.0,1.0,
18,IWM,2025-10-17,2025-11-21,2025-11-21,237.0,227.0,10.0,35,243.41,235.6,4.6,2.39,2.1657999999999995,1.4000000000000057,0.25828308391571053,-0.33973620430959434,0.7657999999999938,76.57999999999939,7.790000000000001,779.0000000000001,0.09830551989730343,partial_loss,0.3,35,10.0,1.0,
19,IWM,2025-11-14,2025-12-19,2025-12-18,230.0,220.0,10.0,35,237.48,248.71,4.19,2.1,2.0482000000000005,0.0,0.26357110223770147,-0.3185922657813121,2.0482000000000005,204.82000000000005,7.91,791.0,0.2589380530973452,profit_take,0.3,35,10.0,1.0,
20,IWM,2025-12-12,2026-01-16,2026-01-15,246.0,236.0,10.0,35,253.85,265.51,3.12,1.47,1.617,0.0,0.2123931936264038,-0.2883550580042797,1.617,161.7,8.35,835.0,0.19365269461077844,profit_take,0.3,35,10.0,1.0,
21,IWM,2026-01-16,2026-02-20,2026-02-20,260.0,250.0,10.0,35,265.76,264.61,3.6,1.64,1.9208,0.0,0.19592356758117677,-0.3288059733598144,1.9208,192.08,8.04,803.9999999999999,0.23890547263681597,profit_take,0.3,35,10.0,1.0,
22,IWM,2026-02-13,2026-03-20,2026-03-20,256.0,246.0,10.0,35,262.96,242.22,5.13,2.83,2.254,10.0,0.2640956126213074,-0.3417914312095315,-7.746,-774.6,7.7,770.0,-1.005974025974026,max_loss,0.3,35,10.0,1.0,
23,IWM,2026-03-13,2026-04-17,2026-04-15,239.0,229.0,10.0,35,246.59,269.39,3.92,2.12,1.7639999999999998,0.0,0.2454468843460083,-0.3117818825326288,1.7639999999999998,176.39999999999998,8.2,819.9999999999999,0.2151219512195122,profit_take,0.3,35,10.0,1.0,
1,IWM,2024-05-17,2024-06-21,2024-06-21,202.0,192.0,10.0,35,208.08,200.35,1.97,0.57,1.3719999999999999,1.6500000000000057,0.1803599140167236,-0.26932608853279183,-0.2780000000000058,-27.80000000000058,8.6,860.0,-0.03232558139534951,partial_loss,0.25,35,10.0,1.0,
2,IWM,2024-06-14,2024-07-19,2024-07-15,193.0,183.0,10.0,35,198.73,217.19,2.18,0.68,1.47,0.0,0.19374923362731936,-0.2843963567806337,1.47,147.0,8.5,850.0,0.17294117647058824,profit_take,0.25,35,10.0,1.0,
3,IWM,2024-07-12,2024-08-16,2024-08-16,206.0,196.0,10.0,35,213.14,212.6,1.95,0.61,1.3132,0.0,0.18906678638458252,-0.2531367312840785,1.3132,131.32,8.66,866.0,0.15163972286374133,profit_take,0.25,35,10.0,1.0,
4,IWM,2024-08-16,2024-09-20,2024-09-20,203.0,193.0,10.0,35,212.6,221.57,1.91,0.61,1.2739999999999998,0.0,0.21860148925781253,-0.22282077401115002,1.2739999999999998,127.39999999999998,8.7,869.9999999999999,0.1464367816091954,profit_take,0.25,35,10.0,1.0,
5,IWM,2024-09-13,2024-10-18,2024-10-17,206.0,196.0,10.0,35,216.83,226.12,2.34,0.91,1.4013999999999998,0.0,0.25076828060150147,-0.22992031246929778,1.4013999999999998,140.14,8.57,857.0,0.16352392065344223,profit_take,0.25,35,10.0,1.0,
6,IWM,2024-10-11,2024-11-15,2024-11-11,213.0,203.0,10.0,35,221.26,241.7,3.32,1.5,1.7835999999999999,0.0,0.2570433320999146,-0.2886296470126486,1.7835999999999999,178.35999999999999,8.18,818.0,0.2180440097799511,profit_take,0.25,35,10.0,1.0,
7,IWM,2024-11-15,2024-12-20,2024-12-20,218.0,208.0,10.0,35,228.48,221.92,2.24,0.95,1.2642000000000002,0.0,0.22930150108337402,-0.2293696314156835,1.2642000000000002,126.42000000000002,8.709999999999999,870.9999999999999,0.14514351320321472,profit_take,0.25,35,10.0,1.0,
8,IWM,2024-12-13,2025-01-17,2025-01-17,223.0,213.0,10.0,35,233.07,225.46,2.3,0.9,1.3719999999999999,0.0,0.22283571853637696,-0.2357645359082601,1.3719999999999999,137.2,8.6,860.0,0.15953488372093022,profit_take,0.25,35,10.0,1.0,
9,IWM,2025-01-17,2025-02-21,2025-02-21,217.0,207.0,10.0,35,225.46,217.8,2.18,0.77,1.3818000000000001,0.0,0.205364754486084,-0.2474841729072009,1.3818000000000001,138.18,8.59,859.0,0.16086146682188593,expired_worthless,0.25,35,10.0,1.0,
10,IWM,2025-02-14,2025-03-21,2025-03-21,219.0,209.0,10.0,35,225.97,203.79,2.49,0.87,1.5876000000000001,10.0,0.20002905340194704,-0.27848329589952486,-8.4124,-841.24,8.379999999999999,837.9999999999999,-1.0038663484486876,max_loss,0.25,35,10.0,1.0,
12,IWM,2025-04-11,2025-05-16,2025-05-12,170.0,160.0,10.0,35,184.36,207.87,3.88,2.15,1.6954,0.0,0.4368359550476075,-0.24485597805363363,1.6954,169.54,8.27,827.0,0.205006045949214,profit_take,0.25,35,10.0,1.0,
13,IWM,2025-05-16,2025-06-20,2025-06-20,199.0,189.0,10.0,35,209.85,209.21,1.71,0.69,0.9996,0.0,0.2261925849914551,-0.2011115283361529,0.9996,99.96000000000001,8.98,898.0,0.1113140311804009,profit_take,0.25,35,10.0,1.0,
14,IWM,2025-06-13,2025-07-18,2025-07-18,201.0,191.0,10.0,35,208.89,222.33,3.36,1.46,1.8619999999999999,0.0,0.2685444143295288,-0.29371935130752047,1.8619999999999999,186.2,8.1,810.0,0.22987654320987652,profit_take,0.25,35,10.0,1.0,
15,IWM,2025-07-11,2025-08-15,2025-08-14,213.0,203.0,10.0,35,221.7,228.24,2.7,1.12,1.5484,0.0,0.23533813877105714,-0.2647113249151161,1.5484,154.84,8.42,842.0,0.183895486935867,profit_take,0.25,35,10.0,1.0,
16,IWM,2025-08-15,2025-09-19,2025-09-19,219.0,209.0,10.0,35,227.13,242.98,2.9,1.27,1.5974,0.0,0.23117066535949704,-0.2779678247054437,1.5974,159.73999999999998,8.370000000000001,837.0000000000001,0.19084826762246113,profit_take,0.25,35,10.0,1.0,
17,IWM,2025-09-12,2025-10-17,2025-10-17,229.0,219.0,10.0,35,238.34,243.41,2.66,1.05,1.5778,0.0,0.22505773525238038,-0.2567223378228955,1.5778,157.78,8.39,839.0,0.18805721096543504,expired_worthless,0.25,35,10.0,1.0,
18,IWM,2025-10-17,2025-11-21,2025-11-21,234.0,224.0,10.0,35,243.41,235.6,3.89,1.97,1.8816000000000002,0.0,0.2702419206619263,-0.2909191944655876,1.8816000000000002,188.16000000000003,8.08,808.0,0.2328712871287129,profit_take,0.25,35,10.0,1.0,
19,IWM,2025-11-14,2025-12-19,2025-12-18,227.0,217.0,10.0,35,237.48,248.71,3.5,1.7,1.764,0.0,0.27452383270263675,-0.27075147229462254,1.764,176.4,8.2,819.9999999999999,0.21512195121951222,profit_take,0.25,35,10.0,1.0,
20,IWM,2025-12-12,2026-01-16,2026-01-14,243.0,233.0,10.0,35,253.85,263.19,2.57,1.18,1.3621999999999999,0.0,0.22425666484832762,-0.2391936958009526,1.3621999999999999,136.22,8.61,861.0,0.15821138211382113,profit_take,0.25,35,10.0,1.0,
21,IWM,2026-01-16,2026-02-20,2026-02-20,257.0,247.0,10.0,35,265.76,264.61,2.86,1.3,1.5287999999999997,0.0,0.20358141918182376,-0.26997496673342486,1.5287999999999997,152.87999999999997,8.44,844.0,0.1811374407582938,profit_take,0.25,35,10.0,1.0,
22,IWM,2026-02-13,2026-03-20,2026-03-20,253.0,243.0,10.0,35,262.96,242.22,4.36,2.32,1.9992000000000005,10.0,0.27350342159271246,-0.29613363355997635,-8.0008,-800.08,7.959999999999999,795.9999999999999,-1.0051256281407037,max_loss,0.25,35,10.0,1.0,
23,IWM,2026-03-13,2026-04-17,2026-04-15,237.0,227.0,10.0,35,246.59,269.39,3.58,1.91,1.6366,0.0,0.2570385638237,-0.28171700104081493,1.6366,163.66,8.33,833.0,0.19647058823529412,profit_take,0.25,35,10.0,1.0,
1,IWM,2024-05-17,2024-06-21,2024-06-21,200.0,190.0,10.0,35,208.08,200.35,1.53,0.44,1.0682,0.0,0.18438433914184568,-0.21861903075409325,1.0682,106.82000000000001,8.91,891.0,0.11988776655443323,profit_take,0.2,35,10.0,1.0,
2,IWM,2024-06-14,2024-07-19,2024-07-19,191.0,181.0,10.0,35,198.73,216.84,1.71,0.56,1.127,0.0,0.19800253601074216,-0.23308884283180997,1.127,112.7,8.85,885.0,0.12734463276836158,expired_worthless,0.2,35,10.0,1.0,
3,IWM,2024-07-12,2024-08-16,2024-08-16,204.0,194.0,10.0,35,213.14,212.6,1.54,0.48,1.0388,0.0,0.1933105522155762,-0.20774222648978027,1.0388,103.88,8.94,894.0,0.11619686800894855,profit_take,0.2,35,10.0,1.0,
4,IWM,2024-08-16,2024-09-20,2024-09-19,201.0,191.0,10.0,35,212.6,223.97,1.53,0.53,0.98,0.0,0.22212047710418703,-0.1852345402547762,0.98,98.0,9.0,900.0,0.10888888888888888,profit_take,0.2,35,10.0,1.0,
5,IWM,2024-09-13,2024-10-18,2024-10-18,203.0,193.0,10.0,35,216.83,225.65,1.75,0.76,0.9702,0.0,0.2555460933685303,-0.1808650817574867,0.9702,97.02,9.01,901.0,0.10768035516093229,profit_take,0.2,35,10.0,1.0,
6,IWM,2024-10-11,2024-11-15,2024-11-14,209.0,199.0,10.0,35,221.26,231.94,2.44,1.08,1.3327999999999998,0.0,0.267981757736206,-0.2217396011594068,1.3327999999999998,133.27999999999997,8.64,864.0,0.15425925925925923,profit_take,0.2,35,10.0,1.0,
7,IWM,2024-11-15,2024-12-20,2024-12-20,216.0,206.0,10.0,35,228.48,221.92,1.96,0.86,1.078,0.0,0.23857103004455568,-0.2005400337360528,1.078,107.80000000000001,8.9,890.0,0.12112359550561799,profit_take,0.2,35,10.0,1.0,
8,IWM,2024-12-13,2025-01-17,2025-01-17,220.0,210.0,10.0,35,233.07,225.46,1.71,0.69,0.9996,0.0,0.2275467754364014,-0.18441226890121415,0.9996,99.96000000000001,8.98,898.0,0.1113140311804009,profit_take,0.2,35,10.0,1.0,
9,IWM,2025-01-17,2025-02-21,2025-02-21,215.0,205.0,10.0,35,225.46,217.8,1.83,0.65,1.1564,0.0,0.2122787549972534,-0.2109491907363249,1.1564,115.64000000000001,8.82,882.0,0.13111111111111112,profit_take,0.2,35,10.0,1.0,
10,IWM,2025-02-14,2025-03-21,2025-03-21,217.0,207.0,10.0,35,225.97,203.79,2.04,0.7,1.3132000000000001,10.0,0.20459229373931886,-0.2356381877697843,-8.6868,-868.68,8.66,866.0,-1.0030946882217089,max_loss,0.2,35,10.0,1.0,
12,IWM,2025-04-11,2025-05-16,2025-05-16,167.0,157.0,10.0,35,184.36,209.85,3.49,2.03,1.4308000000000003,0.0,0.4616882106781005,-0.2160483198957993,1.4308000000000003,143.08000000000004,8.54,853.9999999999999,0.16754098360655745,expired_worthless,0.2,35,10.0,1.0,
13,IWM,2025-05-16,2025-06-20,2025-06-20,195.0,185.0,10.0,35,209.85,209.21,1.16,0.53,0.6173999999999998,0.0,0.2385328838348389,-0.14166158274626878,0.6173999999999998,61.73999999999998,9.370000000000001,937.0000000000001,0.06589114194236924,profit_take,0.2,35,10.0,1.0,
14,IWM,2025-06-13,2025-07-18,2025-07-14,198.0,188.0,10.0,35,208.89,223.19,2.57,1.22,1.323,-0.010200000000000002,0.2726546684265137,-0.23772008595267394,1.3332,133.32,8.65,865.0,0.1541271676300578,profit_take,0.2,35,10.0,1.0,
15,IWM,2025-07-11,2025-08-15,2025-08-15,211.0,201.0,10.0,35,221.7,227.13,2.28,0.89,1.3621999999999996,0.0,0.2408311929702759,-0.22883650538105163,1.3621999999999996,136.21999999999997,8.61,861.0,0.1582113821138211,profit_take,0.2,35,10.0,1.0,
16,IWM,2025-08-15,2025-09-19,2025-09-18,216.0,206.0,10.0,35,227.13,244.84,2.31,0.95,1.3328,0.0,0.24159411716461188,-0.2263380563784913,1.3328,133.28,8.64,864.0,0.15425925925925926,profit_take,0.2,35,10.0,1.0,
17,IWM,2025-09-12,2025-10-17,2025-10-15,227.0,217.0,10.0,35,238.34,250.33,2.21,0.83,1.3523999999999998,0.0,0.22810943202972417,-0.2207058088418944,1.3523999999999998,135.23999999999998,8.620000000000001,862.0000000000001,0.15689095127610206,profit_take,0.2,35,10.0,1.0,
18,IWM,2025-10-17,2025-11-21,2025-11-21,230.0,220.0,10.0,35,243.41,235.6,2.83,1.5,1.3034000000000001,0.0,0.2735844822883606,-0.2271051730239103,1.3034000000000001,130.34,8.67,867.0,0.15033448673587083,profit_take,0.2,35,10.0,1.0,
19,IWM,2025-11-14,2025-12-19,2025-12-18,225.0,215.0,10.0,35,237.48,248.71,3.04,1.44,1.568,0.0,0.2790060123443604,-0.24056076914739297,1.568,156.8,8.4,840.0,0.18666666666666668,profit_take,0.2,35,10.0,1.0,
20,IWM,2025-12-12,2026-01-16,2026-01-16,241.0,231.0,10.0,35,253.85,265.76,2.25,1.01,1.2152,0.0,0.231528286075592,-0.21066909888111107,1.2152,121.52000000000001,8.76,876.0,0.13872146118721462,expired_worthless,0.2,35,10.0,1.0,
21,IWM,2026-01-16,2026-02-20,2026-02-20,254.0,244.0,10.0,35,265.76,264.61,2.27,1.02,1.225,0.0,0.21142046527862546,-0.2201038883276301,1.225,122.50000000000001,8.75,875.0,0.14,profit_take,0.2,35,10.0,1.0,
22,IWM,2026-02-13,2026-03-20,2026-03-20,248.0,238.0,10.0,35,262.96,242.22,3.2,1.72,1.4504000000000001,5.780000000000001,0.28427972583770755,-0.2280794319332521,-4.329600000000001,-432.9600000000001,8.52,852.0,-0.5081690140845071,partial_loss,0.2,35,10.0,1.0,
